iter	Passed	Remaining
0	56	56156
1	57	28551
2	58	19333
3	58	14679
4	59	11891
5	60	10031
6	61	8655
7	61	7621
8	61	6823
9	62	6180
10	62	5652
11	63	5215
12	63	4845
13	64	4530
14	65	4271
15	65	4043
16	66	3837
17	67	3662
18	67	3498
19	68	3347
20	68	3212
21	69	3080
22	69	2970
23	70	2868
24	71	2774
25	71	2687
26	72	2606
27	72	2532
28	73	2463
29	74	2398
30	74	2336
31	75	2277
32	75	2222
33	76	2172
34	77	2123
35	77	2077
36	78	2034
37	78	1990
38	79	1947
39	79	1907
40	79	1868
41	80	1832
42	80	1796
43	81	1764
44	81	1732
45	82	1705
46	82	1677
47	83	1649
48	83	1624
49	84	1598
50	84	1574
51	85	1555
52	86	1538
53	86	1517
54	87	1498
55	87	1478
56	88	1458
57	88	1439
58	89	1420
59	89	1402
60	90	1387
61	90	1371
62	91	1354
63	91	1338
64	92	1323
65	92	1308
66	92	1294
67	93	1280
68	94	1268
69	94	1255
70	94	1242
71	95	1229
72	95	1217
73	96	1204
74	96	1193
75	97	1181
76	97	1170
77	98	1159
78	98	1151
79	99	1143
80	99	1133
81	100	1125
82	101	1116
83	101	1106
84	102	1099
85	102	1094
86	103	1085
87	103	1077
88	104	1067
89	104	1059
90	105	1052
91	105	1044
92	106	1035
93	106	1029
94	107	1021
95	107	1015
96	108	1007
97	108	999
98	109	992
99	109	986
100	110	980
101	110	974
102	111	967
103	111	961
104	112	954
105	112	948
106	112	941
107	113	935
108	113	928
109	114	922
110	114	916
111	114	910
112	115	904
113	115	898
114	115	892
115	116	886
116	116	881
117	117	876
118	117	871
119	118	865
120	118	860
121	118	855
122	119	850
123	119	845
124	120	840
125	120	835
126	120	831
127	121	826
128	121	822
129	122	818
130	122	813
131	123	809
132	124	808
133	124	804
134	124	800
135	125	796
136	125	792
137	126	788
138	126	784
139	126	779
140	127	776
141	127	771
142	128	768
143	128	764
144	128	760
145	129	756
146	129	752
147	130	749
148	130	745
149	130	741
150	131	738
151	131	734
152	132	730
153	132	728
154	132	724
155	133	721
156	133	717
157	134	714
158	134	711
159	134	708
160	135	705
161	135	701
162	136	698
163	136	695
164	136	692
165	137	689
166	137	686
167	138	683
168	139	684
169	139	681
170	139	678
171	140	675
172	140	672
173	141	670
174	141	667
175	141	664
176	142	661
177	142	659
178	143	656
179	143	653
180	143	651
181	144	648
182	144	646
183	145	643
184	145	641
185	145	638
186	146	636
187	146	634
188	147	631
189	147	629
190	147	626
191	148	624
192	148	622
193	149	620
194	149	617
195	150	615
196	150	613
197	150	610
198	151	608
199	151	606
200	151	604
201	152	602
202	152	600
203	153	598
204	153	596
205	154	594
206	154	591
207	154	589
208	155	587
209	155	585
210	156	583
211	156	581
212	156	579
213	157	577
214	157	575
215	158	573
216	158	572
217	158	570
218	159	568
219	159	566
220	160	564
221	160	562
222	160	560
223	161	558
224	161	556
225	162	555
226	162	553
227	163	551
228	163	550
229	163	548
230	164	546
231	164	544
232	165	543
233	165	541
234	165	540
235	166	538
236	166	536
237	167	535
238	167	533
239	167	531
240	168	530
241	168	528
242	169	526
243	169	525
244	170	523
245	170	522
246	170	520
247	171	519
248	171	517
249	171	515
250	172	514
251	172	512
252	173	511
253	173	509
254	173	508
255	174	506
256	174	505
257	175	504
258	175	502
259	176	501
260	176	499
261	176	498
262	177	497
263	177	495
264	178	494
265	178	492
266	179	491
267	179	490
268	179	489
269	180	487
270	180	486
271	181	484
272	181	483
273	181	482
274	182	481
275	182	479
276	183	478
277	183	477
278	184	475
279	184	474
280	184	473
281	185	472
282	185	470
283	186	469
284	186	468
285	187	467
286	187	466
287	188	464
288	188	463
289	188	462
290	189	461
291	189	459
292	189	458
293	190	457
294	190	455
295	191	455
296	192	454
297	192	454
298	193	453
299	193	452
300	194	450
301	194	449
302	195	448
303	195	447
304	195	446
305	196	445
306	196	444
307	197	443
308	197	442
309	198	441
310	198	440
311	199	439
312	199	438
313	200	437
314	200	436
315	201	435
316	201	434
317	202	433
318	202	432
319	202	431
320	203	430
321	203	429
322	204	428
323	204	426
324	205	425
325	205	424
326	205	423
327	206	422
328	206	421
329	207	420
330	207	419
331	207	418
332	208	417
333	208	416
334	209	415
335	209	414
336	210	413
337	210	412
338	210	411
339	211	410
340	211	409
341	212	408
342	212	407
343	213	406
344	213	405
345	213	404
346	214	403
347	214	402
348	215	401
349	215	400
350	216	399
351	216	398
352	216	397
353	217	396
354	217	395
355	218	395
356	218	394
357	219	393
358	220	393
359	220	392
360	221	391
361	221	390
362	222	390
363	222	389
364	223	388
365	224	388
366	224	387
367	225	386
368	225	385
369	226	385
370	226	384
371	227	383
372	227	382
373	227	381
374	228	380
375	228	379
376	229	378
377	229	377
378	229	376
379	230	375
380	230	374
381	231	373
382	231	372
383	231	372
384	232	371
385	232	370
386	233	369
387	233	368
388	234	367
389	234	366
390	234	365
391	235	364
392	235	364
393	236	363
394	236	362
395	237	361
396	237	361
397	238	360
398	238	359
399	239	359
400	239	358
401	240	357
402	240	356
403	241	355
